"filename", "language", "C#", "ASP.NET Razor", "XML", "JSON", "PostCSS", "JavaScript", "Markdown", "comment", "blank", "total"
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Infrastructure/DependencyInjection.cs", "C#", -12, 0, 0, 0, 0, 0, 0, -5, -8, -25
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Infrastructure/Laundry.Infrastructure.csproj", "XML", 0, 0, -24, 0, 0, 0, 0, 0, -5, -29
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Infrastructure/Persistance/ApplicationDbContext.cs", "C#", -2, 0, 0, 0, 0, 0, 0, 0, 0, -2
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Infrastructure/Persistance/ApplicationDbContextFactory.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Laundry.WebApp.csproj", "XML", 0, 0, -12, 0, 0, 0, 0, 0, -4, -16
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Error.cshtml", "ASP.NET Razor", 0, -23, 0, 0, 0, 0, 0, 0, -4, -27
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Error.cshtml.cs", "C#", -20, 0, 0, 0, 0, 0, 0, 0, -8, -28
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Index.cshtml", "ASP.NET Razor", 0, -19, 0, 0, 0, 0, 0, 0, -4, -23
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Index.cshtml.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, -6, -20
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Privacy.cshtml", "ASP.NET Razor", 0, -7, 0, 0, 0, 0, 0, 0, -2, -9
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Privacy.cshtml.cs", "C#", -14, 0, 0, 0, 0, 0, 0, 0, -6, -20
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Shared/_Layout.cshtml", "ASP.NET Razor", 0, -54, 0, 0, 0, 0, 0, 0, -4, -58
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Shared/_Layout.cshtml.css", "PostCSS", 0, 0, 0, 0, -38, 0, 0, -2, -9, -49
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/Shared/_ValidationScriptsPartial.cshtml", "ASP.NET Razor", 0, -2, 0, 0, 0, 0, 0, 0, -1, -3
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/_ViewImports.cshtml", "ASP.NET Razor", 0, -3, 0, 0, 0, 0, 0, 0, -1, -4
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Pages/_ViewStart.cshtml", "ASP.NET Razor", 0, -3, 0, 0, 0, 0, 0, 0, -1, -4
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Program.cs", "C#", -19, 0, 0, 0, 0, 0, 0, -4, -12, -35
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/Properties/launchSettings.json", "JSON", 0, 0, 0, -23, 0, 0, 0, 0, -1, -24
"/Users/althaf/Desktop/LaundrySolution/src/Laundry.Presentation/Laundry.WebApp/appsettings.Development.json", "JSON", 0, 0, 0, -9, 0, 0, 0, 0, -1, -10
